TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-08-21 07:52:33,1787298753409,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,thjbm-1787298753409-a259a175e2d9,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,5,iad1,339,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAW8RRMV2RTPWN0DGW6B,0wS2QYpHHVTK,1,,
2026-08-21 07:52:33,1787298753409,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,thjbm-1787298753409-a259a175e2d9,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,8,iad1,276,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAWYBVQ15F24YF0J5PVR,BdZ1jMk8e3yz,1,,
2026-08-21 07:52:33,1787298753403,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,ssp77-1787298753403-cea971e941df,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,342,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAW3BQHFJ21JAHW1VJ01,jYwSUfQKo6zE,1,,
2026-08-21 07:52:33,1787298753403,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,ssp77-1787298753403-cea971e941df,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,276,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAWK3DWGMXRDGWPN8MBT,BdZ1jMk8e3yz,1,,
2026-08-21 07:52:33,1787298753379,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,sj2h8-1787298753379-1114c73e8afd,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,342,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAVBC8F16H8HYKQFSQFK,jYwSUfQKo6zE,1,,
2026-08-21 07:52:33,1787298753379,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,sj2h8-1787298753379-1114c73e8afd,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,371,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAVV08D4WZPBWY8HG8JA,ixQP0En4HAtx,1,,
2026-08-21 07:52:33,1787298753358,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,rcvtd-1787298753358-6e5c6ca6c52f,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,5,iad1,371,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAWF7EKBZPKJKEJ5HEA8,ixQP0En4HAtx,1,,
2026-08-21 07:52:33,1787298753358,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,rcvtd-1787298753358-6e5c6ca6c52f,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,sfo1,218,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXATT9HEQX3RNBFY0W43T,gG5RCH22z6p0,1,,
2026-08-21 07:52:33,1787298753358,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,2hswp-1787298753358-dd599034d301,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,5,iad1,370,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAXCY8V4CR5ZE6HH26P1,ZWTXaH3JLH5o,1,,
2026-08-21 07:52:33,1787298753358,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,2hswp-1787298753358-dd599034d301,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,fra1,210,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAVAF2Y8AAXTP5CPDEE1,9bwWuvo5xo6O,1,,
2026-08-21 07:52:33,1787298753322,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,fx4hz-1787298753322-f883e1dc9c15,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,5,iad1,371,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAT0H38GNBBAWEY9Q37W,ixQP0En4HAtx,1,,
2026-08-21 07:52:33,1787298753322,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,fx4hz-1787298753322-f883e1dc9c15,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,342,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXASGFK6WTEGS71RFKGRG,jYwSUfQKo6zE,1,,
2026-08-21 07:52:33,1787298753308,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,sj2h8-1787298753308-850f508882c8,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,5,iad1,371,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXASHFP26ZM8H506QKECR,ixQP0En4HAtx,1,,
2026-08-21 07:52:33,1787298753308,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,sj2h8-1787298753308-850f508882c8,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,342,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAS1Q43HME0CWVYDMZQZ,jYwSUfQKo6zE,1,,
2026-08-21 07:52:33,1787298753298,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,tzrrl-1787298753298-dbbfbf2f5692,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,6,iad1,276,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXASDA6KXN9XVXN41WAZA,BdZ1jMk8e3yz,1,,
2026-08-21 07:52:33,1787298753298,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,tzrrl-1787298753298-dbbfbf2f5692,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,middleware,/_middleware,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,5,iad1,339,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXARXEJJKAH2Q60NX99M6,0wS2QYpHHVTK,1,,
2026-08-21 07:52:33,1787298753295,www.staffordshirewoodfuels.co.uk/api/log-drain,POST,,200,nl967-1787298753295-b3c10f4b482b,VercelDrain/1.0 (+https://vercel.com/docs/drains),,production,main,MISS,function,/api/log-drain,www.staffordshirewoodfuels.co.uk,staffordshire-6diohmfiq-mailfoundry.vercel.app,dpl_BqZmMgBcQPGTJuXAod98WZ9BGGXX,5,iad1,320,2048,,prj_8iQOrGzJ1eJ6OttmZ8LMj00sqIqX,,,01M0HMXAS9RWD366ZPGBVN2241,qohtDSwBu4Gb,1,,
